name,Nodes,SomaSurface,Stems,Bifurcations,Branches,Tips,OverallWidth,OverallHeight,OverallDepth,AverageDiameter,Length,Surface,Volume_x,MaxEuclideanDistance,MaxPathDistance,MaxBranchOrder,AverageContraction,AverageFragmentation,AverageParent-daughterRatio,AverageBifurcationAngleLocal,AverageBifurcationAngleRemote,HausdorffDimension,Bouton Number,TEB Ratio,Bouton Density,Geodesic Distance,Bouton Interval,Project Regions,Segment Number,PathLength,EucLength,OrientX,OrientY,OrientZ,Volume_y,region,max_density_basal,nodes_basal,p_length_basal,volume_basal,branch_basal,d_to_soma_basal,d_to_soma2_basal,hub_basal,variance_ratio_basal,max_density_apical,nodes_apical,p_length_apical,volume_apical,branch_apical,d_to_soma_apical,d_to_soma2_apical,hub_apical,variance_ratio_apical,max_density_a1,num_nodes_a1,total_path_length_a1,volume_a1,branch_a1,d_to_soma_a1,d_to_soma2_a1,hub_a1,variance_ratio_a1,max_density_a2,num_nodes_a2,total_path_length_a2,volume_a2,branch_a2,d_to_soma_a2,d_to_soma2_a2,hub_a2,variance_ratio_a2,max_density_a3,num_nodes_a3,total_path_length_a3,volume_a3,branch_a3,d_to_soma_a3,d_to_soma2_a3,hub_a3,variance_ratio_a3,max_density_a4,num_nodes_a4,total_path_length_a4,volume_a4,branch_a4,d_to_soma_a4,d_to_soma2_a4,hub_a4,variance_ratio_a4,soma_x,soma_y,soma_z
18454_01047,37589,12.5664,8,215,436,222,1514.08,2508.85,1905.3,1.99995,37169,233540,116770,3105.79,7166.02,31,0.906136,85.211,1,70.8039,68.5385,1.27979,982,0.00305499,3.001590251,5481.915086,24.39280024,14,436,3852.546651,2048.835395,-0.313739211,-0.734173181,-0.602127434,661121082.9,VPM,20,133,4424.2686,8002882.716,54,18.9798,30.43637462,1,0.43999298,0,0,0,0,0,0,0,0,0,8,210,11062.5453,1828654750,49,1804.6325,2617.27561,1,0.617625138,8,379,18320.4763,673401885.2,112,2582.665,2635.164565,1,0.59264375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6950.3,3836.8,7763.42
pre_18864_00442,69037,12.5664,9,285,577,293,2870.96,2154.34,3843.23,1.99997,68317.7,429253,214626,3293.56,5893.74,31,0.894755,118.646,1,70.359,65.2692,1.21392,1899,0.002106372,3.101772425,1778.36634,32.04356348,19,571,5893.735435,3103.71005,-0.696414924,-0.029748269,0.71702252,2295118216,SSp-bfd,8,127,4711.0988,14880952.24,46,18.8535,26.84035022,1,0.417795835,8,62,2510.3361,17886728.62,23,149.3433,47.06002337,1,0.465469282,13,746,41379.9462,13511208733,154,385.3495,109.6313112,1,0.58924924,7,255,13867.8083,901604048.6,62,1436.4707,1345.621246,1,0.453585925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6247.17,1709.65,9251.35
18454_01131,87053,12.5664,8,305,616,312,4515.28,2707.2,2154.51,1.99998,86448.9,543174,271587,4498.06,12262.1,34,0.902964,140.318,1,66.8424,61.7699,1.26887,1448,0.000690608,1.92119898,8808.947133,34.63356835,23,616,9231.058907,4429.366523,-0.913625002,-0.403371451,-0.050801847,6243645449,RE,17,258,10408.6829,28822087.67,79,33.138,24.47563687,1,0.423862774,0,0,0,0,0,0,0,0,0,8,739,44506.3965,22200645680,127,3157.1581,1012.718281,1,0.489156884,7,452,24943.4103,3633898141,99,4022.9797,3797.295972,1,0.45497803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6219.88,4931.45,6048
18869_5286_x15761_y3297,39845,12.5664,6,398,800,403,939.09,702.8,454.92,1.99995,39266.8,246721,123360,659.622,867.206,22,0.910641,48.805,1,80.4875,70.4345,1.3442,1222,0.006546645,3.529467993,322.1831523,25.21724961,7,800,832.7879591,652.4810512,-0.834706232,0.364179158,0.413084793,8552719.46,RSPv,6,98,4368.6075,75810895.66,26,31.0896,0,1,0.439458319,0,0,0,0,0,0,0,0,0,6,163,5924.0303,176770126.9,64,189.2755,104.3638119,1,0.486363953,9,409,13892.6847,151550948.3,166,84.0548,127.5354433,1,0.562822313,7,332,11230.8719,84614141.86,140,56.4859,227.4074106,1,0.489165499,0,0,0,0,0,0,0,0,0,6552.88,924.7,6219.55
18465_00080,28245,12.5664,7,138,281,144,870.52,2955.48,1896.19,1.99993,27884.7,175205,87602.3,3163.09,6468.81,15,0.871607,99.5125,1,72.9851,66.3582,1.22928,1271,0,5.144397505,5565.0936,19.35393223,8,281,4757.68134,2406.971212,0.074354857,-0.83904618,-0.538955345,1308489585,VPM,17,96,3181.0347,6558952.505,33,18.6865,32.20464097,1,0.537306133,0,0,0,0,0,0,0,0,0,5,81,4322.8366,1036697334,15,806.8492,612.7951261,0,0.53854108,5,344,17191.7114,561603834.5,90,2745.6499,2740.360017,0,0.552801391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7148.08,4132.88,7646.42
pre_18864_00111,50958,12.5664,9,207,421,215,2947.21,3490.32,3908.64,1.99996,50363.5,316443,158222,3251.65,5407.99,27,0.885656,120.038,1,72.635,63.7567,1.1516,831,0.002406739,1.935031965,1589.050232,50.96186228,29,389,4298.918981,2600.606266,0.305555674,0.930879092,-0.20024946,1484167929,SSp-n,7,180,7376.1376,36214620.83,67,42.4289,148.3102589,1,0.54214868,0,0,0,0,0,0,0,0,0,9,602,32803.2597,9407856875,123,716.5769,86.57776735,2,0.549217827,5,94,5348.8236,678175477.7,17,2545.205,2843.849643,0,0.699132395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5511.67,1992.75,9435.88
18864_3015_x3194_y23588,96628,12.5664,7,280,565,286,3153.16,4200.87,7029.48,1.99998,95856.2,602282,301141,4551.36,7447.56,28,0.865729,170.021,1,69.0564,70.9764,1.20555,2974,0,3.459439181,2391.174968,28.09454826,27,565,4597.290167,3579.922434,0.18755155,0.282087117,0.940877927,796523759.1,MOp,8,115,4947.1645,23870807.47,38,26.6639,19.0418539,1,0.367931239,4,110,4700.7358,83171396.08,37,176.2406,38.82931109,0,0.352521157,8,1144,67040.0747,33130114439,188,695.0107,117.479485,1,0.474349148,4,148,9211.1124,2325887040,17,3803.2384,4353.534058,0,0.65164042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3832.43,2012.9,8004.5
18465_00146,60414,12.5664,5,204,411,208,2455.93,2483.4,3098.78,1.99997,59789.5,375669,187834,2858.79,11107.5,26,0.862886,145.99,1,75.5002,73.3247,1.23936,2114,0.000473037,3.733956424,8723.492344,25.60611911,20,411,6761.718797,2164.941779,-0.40299929,-0.080634963,-0.911641144,2980906013,MG,28,129,3488.2682,4255911.787,53,25.0846,26.80602358,1,0.478043223,0,0,0,0,0,0,0,0,0,9,424,24972.4133,10603439695,67,1785.0865,2609.538068,1,0.477217968,6,442,25365.5356,2072683073,84,2438.5108,2631.563692,1,0.361871446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9106.45,3825.55,8240.3
18454_01044,24209,12.5664,8,147,300,154,939.78,2950.87,1393.53,1.99992,23920.3,150295,75147.7,2985.09,5365.86,24,0.888183,79.6933,1,71.8678,70.6884,1.25044,768,0.005208333,3.568085094,4886.859849,20.53526158,8,300,4276.281555,2372.612208,-0.208428498,-0.950972937,-0.228490774,1166650841,VPM,14,71,2311.0777,4517823.282,28,22.7178,10.90026605,1,0.474139863,0,0,0,0,0,0,0,0,0,4,51,3317.3044,513630382.2,6,860.7274,440.9610951,0,0.599666574,12,352,15576.9334,265992914.3,113,2694.0563,2734.39937,1,0.599944943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6864.5,3876.32,7906.55
18457_00045,41730,12.5664,7,234,473,240,1880.12,1710.34,2228.92,1.99995,41164.3,258643,129322,2848.24,5171.83,23,0.871948,87.222,1,70.3559,67.619,1.30051,1526,0.000655308,4.172322494,4544.795626,19.11213981,12,473,2965.030129,1752.589793,-0.306814522,-0.274878926,-0.911211515,118602896.3,VPM,14,115,4597.622,20906000.27,35,12.7729,0,1,0.449658934,0,0,0,0,0,0,0,0,0,7,367,17003.8149,2281004123,106,2052.6051,2625.557108,3,0.604314355,6,316,14640.9762,306121167.6,93,2475.8871,2647.426212,1,0.566577755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6675.95,3745.35,7687.95
