Unnamed: 0,Name,Soma_region,Cortical_layer,Subclass_or_type,tract_class,arbor_cluster_3,arbor_cluster_10,bouton_cluster_2,bouton_cluster_8,tract_cluster_2,tract_cluster_5,full_cluster_2,full_cluster_7,region_rough,soma_x,soma_y,soma_z,p21,ctype,nt_new
0,18454_01067,VPM,,TH_core,1,1,1,2,5,1,2,1,1,TH,7049.75,4256.8,7107.0,TH-core,VPM_1,Glut
1,191801_4228_x15043_y11097,OT,,,-1,3,10,2,8,2,3,2,5,CNU,4926.95,7449.25,3817.62,,unknown,Glut
2,18457_00127,MG,,TH_core,1,1,2,1,4,1,2,2,7,TH,7996.6,3998.77,8182.15,TH-core,unknown,GABA
3,17302_00015,CP,,CP_others,-1,3,10,2,7,2,4,2,5,CNU,5233.42,4152.45,9032.6,,unknown,Glut
4,18465_00005,CP,,CP_SNr,0,1,1,2,7,2,4,2,5,CNU,5053.58,3791.27,8621.67,CP_SNr,CP_2,GABA
5,17302_00005,CP,,CP_SNr,0,1,1,2,7,2,4,2,5,CNU,4939.75,4732.02,8835.58,CP_SNr,CP_2,Glut
6,17781_00003,MOp,L6,Car3,-1,2,4,1,4,1,1,2,7,CTX,3818.6,4002.85,8063.9,L6-Car3,unknown,Glut
7,18465_00015,CP,,CP_GPe,0,3,7,2,7,2,4,2,5,CNU,5976.0,4475.38,8799.15,CP_GPe,CP_1,GABA
8,18457_00241,SGN,,TH_core,-1,3,6,2,5,1,1,1,1,TH,7828.88,3401.25,7856.4,TH-core,unknown,GABA
9,191807_5178_x5002_y23078,SSp-bfd,,CTX_ET,1,2,4,1,4,1,2,1,1,CTX,6163.6,2316.57,9316.45,,SSp5_1,Glut
10,18470_4630_x23468_y24795,RSPd,L5,CTX_ET,-1,3,10,1,1,1,2,1,4,CTX,6918.48,645.2,6430.4,MY-projecting,unknown,Glut
11,18454_00126,LP,,TH_matrix,1,1,2,2,5,1,1,1,1,TH,7272.23,3280.4,3663.05,TH-matrix,unknown,Glut
12,18454_00136,VPM,,TH_core,1,1,2,2,5,1,2,1,1,TH,7071.62,4269.42,4237.05,TH-core,VPM_1,Glut
13,18869_3398_x6248_y7047,SSp-m,L5,CTX_ET,1,2,4,1,4,1,2,1,4,CTX,4433.67,3737.68,9142.55,MY-projecting,SSp5_2,Glut
14,18455_00042,LGd,,TH_core,1,3,6,2,5,1,1,1,1,TH,7208.62,3035.12,3412.12,TH-core,LGd_2,Glut
15,18869_4912_x19648_y8510,RT,,,-1,3,8,1,1,2,4,2,7,TH,6546.75,3855.88,3448.43,,unknown,GABA
16,18464_00009,CP,,CP_SNr,0,1,1,2,8,2,4,2,5,CNU,4108.6,3328.48,7557.5,CP_SNr,CP_2,GABA
17,18453_2190_x23739_y8507,MOs,L2/3,CTX_IT,1,2,4,1,1,2,3,1,3,CTX,3089.95,2022.03,7421.8,L2/3-IT,MOs2/3_2,Glut
18,18869_4384_x15799_y10704,RT,,,-1,3,8,2,7,2,3,2,5,TH,5685.23,5377.3,4887.0,,unknown,GABA
19,236174_6338_x12496_y6617,ECT,L6,Car3,-1,2,3,1,4,1,2,1,4,CTX,7730.9,4528.4,1496.65,L6-Car3,unknown,Glut
20,17545_00131,CP,,CP_SNr,0,1,1,2,8,2,3,2,5,CNU,5053.23,4451.55,2831.25,CP_SNr,CP_2,Glut
21,18463_00027,VPM,,TH_core,1,1,2,2,5,1,2,1,1,TH,7184.58,4023.6,7795.12,TH-core,VPM_2,Glut
22,17545_00059,CP,,CP_GPe,0,3,10,2,7,2,4,2,5,CNU,4489.33,3455.07,8260.83,CP_GPe,CP_2,Glut
23,17545_00121,CP,,CP_SNr,0,3,7,2,7,2,4,2,5,CNU,5622.1,4937.5,3049.4,CP_SNr,CP_2,Glut
24,18463_00037,VPM,,TH_core,1,1,2,2,5,2,5,2,7,TH,7172.95,3868.88,7503.73,TH-core,VPM_2,Glut
25,pre_18464_00077,CP,,,-1,1,1,2,7,2,4,2,5,CNU,5882.88,3812.45,8096.25,,unknown,GABA
26,15257_4397_x16794_y21812,MOp,,,-1,2,4,1,3,2,5,1,4,CTX,5906.85,1339.68,4785.7,,unknown,Glut
27,pre_18864_00025,MOs,,,-1,2,4,1,1,2,3,2,7,CTX,2951.12,2204.25,3728.65,,unknown,Glut
28,236174_3329_x13938_y26099,GU,L6,Car3,-1,2,5,1,3,1,2,1,4,CTX,4623.15,4309.38,8890.83,L6-Car3,unknown,Glut
29,18458_00461,VPM,,TH_core,1,1,2,2,5,1,2,2,7,TH,6577.2,4390.1,7182.1,TH-core,VPM_1,GABA
30,18463_00045,VPL,,TH_core,1,1,1,1,4,1,2,1,1,TH,6702.6,4191.62,3785.05,TH-core,VPL_2,Glut
31,18455_5316_x26308_y13288,VPM,,TH_core,1,1,2,2,5,2,5,2,7,TH,6671.38,4137.5,3989.48,TH-core,VPM_1,Glut
32,17545_00143,CP,,CP_GPe,0,3,10,2,7,2,4,2,5,CNU,4440.65,4080.88,2932.1,CP_GPe,CP_1,Glut
33,18463_00055,VPM,,TH_core,1,1,2,1,2,1,2,1,1,TH,7071.2,3571.77,4075.57,TH-core,VPM_2,Glut
34,18864_00029,SSs,,CTX_IT,1,2,4,1,1,2,4,2,5,CTX,4673.85,4376.85,1772.55,,unknown,Glut
35,18454_00095,CM,,TH_matrix,-1,3,6,1,4,1,2,1,4,TH,6042.23,4267.35,5491.45,TH-matrix,unknown,Glut
36,18455_00030,CP,,CP_GPe,0,3,10,2,8,2,4,2,5,CNU,3729.73,3617.48,3866.25,CP_GPe,CP_2,Glut
37,18455_00148,VPM,,TH_core,1,1,2,2,6,1,2,2,7,TH,6668.92,4133.55,7433.6,TH-core,VPM_1,Glut
38,18455_00020,VPM,,TH_core,1,1,1,2,6,1,1,1,1,TH,6919.08,3655.55,7959.85,TH-core,VPM_2,Glut
